COUNTRY	LIFE EXPECTANCY	GDP PER CAPITA
ANGOLA	63.000	1302.0
ANGOLA	44.786	1277.0
ANGOLA	57.000	2025.0
ANGOLA	64.000	1260.0
ANGOLA	57.000	1245.0
ANGOLA	71.853	1290.0
ANGOLA	62.000	1304.0
ANGOLA	64.486	428.4
ANGOLA	63.000	842.8
ANGOLA	67.009	489.7
ANGOLA	64.000	963.0
ANGOLA	77.007	796.8
ANGOLA	75.228	578.4
ANGOLA	63.000	1290.0
ANGOLA	58.000	1291.0
ANGOLA	62.639	1302.0
ANGOLA	75.199	1928.0
ANGOLA	65.580	1302.0
ANGOLA	63.000	869.0
ANGOLA	58.000	1278.0
ANGOLA	55.350	489.7
ANGOLA	66.110	842.8
ANGOLA	58.000	1022.0
ANGOLA	60.000	1302.0
ANGOLA	63.000	2022.0
ANGOLA	43.054	1319.6
ANGOLA	69.448	518.7
ANGOLA	63.000	1211.0
ANGOLA	59.000	1278.0
ANGOLA	57.000	1240.0
ANGOLA	68.736	842.8
ANGOLA	54.609	1170.0
ANGOLA	60.000	842.8
ANGOLA	36.528	1101.0
ANGOLA	76.562	489.7
ANGOLA	76.914	1011.0
ANGOLA	59.000	869.0
ANGOLA	63.775	842.8
ANGOLA	57.000	1929.0
BRAZIL	81.104	1272.0
BRAZIL	57.000	1272.0
BRAZIL	64.000	1945.0
BRAZIL	67.953	1272.0
BRAZIL	64.914	1291.0
BRAZIL	59.000	1278.0
BRAZIL	65.243	869.0
BRAZIL	57.000	1298.0
BRAZIL	80.515	1792.0
BRAZIL	63.000	1298.0
BRAZIL	63.000	1291.0
BRAZIL	58.000	1557.3
BRAZIL	64.000	600.2
BRAZIL	60.000	1929.0
BRAZIL	69.448	578.4
BRAZIL	67.953	1290.0
BRAZIL	43.054	1170.0
BRAZIL	77.886	1326.0
BRAZIL	68.735	869.0
BRAZIL	58.000	1347.0
BRAZIL	61.000	1272.0
BRAZIL	62.000	869.0
BRAZIL	59.856	1309.0
BRAZIL	60.000	518.7
BRAZIL	63.000	1022.0
BRAZIL	59.000	1557.3
BRAZIL	43.661	1792.0
BRAZIL	63.000	1170.0
BRAZIL	53.398	881.2
BRAZIL	64.000	1144.0
BRAZIL	71.624	545.0
BRAZIL	57.000	869.0
BRAZIL	71.853	1307.0
BRAZIL	82.202	1792.0
BRAZIL	62.000	842.8
BRAZIL	60.000	1298.0
BRAZIL	66.110	1344.0
BRAZIL	75.228	1347.0
BRAZIL	60.000	2022.0
BRAZIL	51.676	1291.0
BRAZIL	65.270	869.0
CAMEROON	62.000	1298.0
CAMEROON	70.640	1307.0
CAMEROON	45.684	1627.7
CAMEROON	59.000	1557.3
CAMEROON	65.000	1291.0
CAMEROON	65.000	1945.0
CAMEROON	65.243	2025.0
CAMEROON	57.000	1557.3
CAMEROON	60.000	1302.0
CAMEROON	63.000	570.6
CAMEROON	63.000	1291.0
CAMEROON	59.000	1277.0
CAMEROON	76.343	1344.0
CAMEROON	61.000	1347.0
CAMEROON	58.000	600.2
CAMEROON	60.000	1278.0
CAMEROON	42.087	1272.0
CAMEROON	40.715	842.8
CAMEROON	61.000	1792.0
CAMEROON	54.311	1298.0
CAMEROON	75.199	502.4
CAMEROON	53.398	1022.0
CAMEROON	57.000	600.2
CAMEROON	65.000	1022.0
CAMEROON	73.419	1557.3
CAMEROON	76.103	1309.0
CAMEROON	64.000	1272.0
CAMEROON	73.414	1309.0
CAMEROON	64.000	1557.3
CAMEROON	45.684	1007.0
CAMEROON	65.850	489.7
CAMEROON	63.775	1298.0
CAMEROON	59.000	1278.0
CAMEROON	48.440	1022.0
CAMEROON	59.000	1326.0
CAMEROON	59.000	518.7
CAMEROON	73.521	1245.0
CAMEROON	62.000	1011.0
CAMEROON	45.306	1272.0
CAMEROON	65.557	1170.0
CAMEROON	58.000	428.4
DUBAI	65.000	1326.0
DUBAI	75.228	1309.0
DUBAI	61.000	1011.0
DUBAI	68.194	1070.0
DUBAI	27.638	1344.0
DUBAI	60.000	1298.0
DUBAI	60.000	600.2
DUBAI	73.414	578.4
DUBAI	63.000	502.4
DUBAI	60.000	1298.0
DUBAI	42.017	1144.0
DUBAI	73.419	1347.0
DUBAI	68.145	842.8
DUBAI	61.000	1245.0
DUBAI	68.343	1007.0
DUBAI	66.290	1347.0
DUBAI	61.000	1270.0
DUBAI	63.000	1347.0
DUBAI	57.000	1070.0
DUBAI	62.000	1298.0
DUBAI	63.130	1240.0
DUBAI	48.440	1929.0
DUBAI	58.000	1260.0
DUBAI	75.423	1211.0
DUBAI	65.550	502.4
DUBAI	64.985	1019.0
DUBAI	59.000	869.0
DUBAI	57.000	1189.0
DUBAI	61.000	502.4
DUBAI	69.152	1307.0
DUBAI	67.009	1270.0
DUBAI	57.000	1240.0
DUBAI	61.000	1211.0
DUBAI	76.221	1319.6
DUBAI	54.311	842.8
DUBAI	59.000	1309.0
DUBAI	57.000	1011.0
DUBAI	34.463	843.9
DUBAI	62.000	1278.0
DUBAI	59.000	1277.0
DUBAI	60.000	1557.3
ETHIOPIA	60.000	1344.0
ETHIOPIA	64.914	1319.6
ETHIOPIA	29.854	1245.0
ETHIOPIA	67.698	502.4
ETHIOPIA	59.000	1347.0
ETHIOPIA	62.000	1278.0
ETHIOPIA	76.507	1344.0
ETHIOPIA	60.000	1170.0
ETHIOPIA	68.736	1929.0
ETHIOPIA	60.000	2014.7
ETHIOPIA	58.290	1307.0
ETHIOPIA	75.199	1347.0
ETHIOPIA	64.000	999.0
ETHIOPIA	60.000	796.8
ETHIOPIA	67.270	1945.0
ETHIOPIA	61.000	1011.0
ETHIOPIA	73.419	1934.6
ETHIOPIA	62.000	578.4
ETHIOPIA	38.113	1319.6
ETHIOPIA	51.676	1945.0
ETHIOPIA	65.000	1291.0
ETHIOPIA	50.372	1240.0
ETHIOPIA	35.914	1278.0
ETHIOPIA	53.398	1945.0
ETHIOPIA	53.398	502.4
ETHIOPIA	40.128	570.6
ETHIOPIA	64.914	1291.0
ETHIOPIA	63.000	1272.0
ETHIOPIA	62.000	1290.0
ETHIOPIA	64.833	502.4
ETHIOPIA	57.000	545.0
ETHIOPIA	62.000	1170.0
ETHIOPIA	72.101	502.4
ETHIOPIA	75.199	1074.0
ETHIOPIA	59.000	428.4
ETHIOPIA	58.000	1011.0
ETHIOPIA	73.147	1291.0
ETHIOPIA	65.000	1627.7
